,indices_1,indices_2,scores,path_indices_1,path_indices_2,label_indices_1,label_indices_2
0,102,124,0.0510177,../Dataset/Rotkreuz/Rotkreuz_2453.JPG,../Dataset/Rotkreuz/Rotkreuz_2476.JPG,Rotkreuz,Rotkreuz
1,26,68,0.06937492,../Dataset/Horw/Horw_2375.JPG,../Dataset/Horw/Horw_2419.JPG,Horw,Horw
2,68,124,0.08128691,../Dataset/Horw/Horw_2419.JPG,../Dataset/Rotkreuz/Rotkreuz_2476.JPG,Horw,Rotkreuz
3,70,75,0.08368921,../Dataset/Horw/Horw_2422.JPG,../Dataset/Horw/Horw_2427.JPG,Horw,Horw
4,111,121,0.08400226,../Dataset/Rotkreuz/Rotkreuz_2462.JPG,../Dataset/Rotkreuz/Rotkreuz_2473.JPG,Rotkreuz,Rotkreuz
5,167,181,0.08650559,../Dataset/Rotkreuz/Rotkreuz_2523.JPG,../Dataset/Rotkreuz/Rotkreuz_2538.JPG,Rotkreuz,Rotkreuz
6,31,43,0.08871311,../Dataset/Horw/Horw_2380.JPG,../Dataset/Horw/Horw_2392.JPG,Horw,Horw
7,111,116,0.09077281,../Dataset/Rotkreuz/Rotkreuz_2462.JPG,../Dataset/Rotkreuz/Rotkreuz_2468.JPG,Rotkreuz,Rotkreuz
8,72,107,0.09798586,../Dataset/Horw/Horw_2424.JPG,../Dataset/Rotkreuz/Rotkreuz_2458.JPG,Horw,Rotkreuz
9,68,102,0.098211884,../Dataset/Horw/Horw_2419.JPG,../Dataset/Rotkreuz/Rotkreuz_2453.JPG,Horw,Rotkreuz
10,36,37,0.09896493,../Dataset/Horw/Horw_2385.JPG,../Dataset/Horw/Horw_2386.JPG,Horw,Horw
11,6,83,0.09917891,../Dataset/Horw/Horw_2355.JPG,../Dataset/Horw/Horw_2435.JPG,Horw,Horw
12,122,134,0.10461545,../Dataset/Rotkreuz/Rotkreuz_2474.JPG,../Dataset/Rotkreuz/Rotkreuz_2488.JPG,Rotkreuz,Rotkreuz
13,7,137,0.10608995,../Dataset/Horw/Horw_2356.JPG,../Dataset/Rotkreuz/Rotkreuz_2491.JPG,Horw,Rotkreuz
14,38,44,0.10702455,../Dataset/Horw/Horw_2387.JPG,../Dataset/Horw/Horw_2393.JPG,Horw,Horw
15,139,166,0.10876536,../Dataset/Rotkreuz/Rotkreuz_2495.JPG,../Dataset/Rotkreuz/Rotkreuz_2522.JPG,Rotkreuz,Rotkreuz
16,26,124,0.11034238,../Dataset/Horw/Horw_2375.JPG,../Dataset/Rotkreuz/Rotkreuz_2476.JPG,Horw,Rotkreuz
17,80,83,0.11063397,../Dataset/Horw/Horw_2432.JPG,../Dataset/Horw/Horw_2435.JPG,Horw,Horw
18,73,132,0.1138798,../Dataset/Horw/Horw_2425.JPG,../Dataset/Rotkreuz/Rotkreuz_2486.JPG,Horw,Rotkreuz
19,181,187,0.11482501,../Dataset/Rotkreuz/Rotkreuz_2538.JPG,../Dataset/Rotkreuz/Rotkreuz_2545.JPG,Rotkreuz,Rotkreuz
20,136,166,0.11547357,../Dataset/Rotkreuz/Rotkreuz_2490.JPG,../Dataset/Rotkreuz/Rotkreuz_2522.JPG,Rotkreuz,Rotkreuz
21,30,36,0.11969268,../Dataset/Horw/Horw_2379.JPG,../Dataset/Horw/Horw_2385.JPG,Horw,Horw
22,102,190,0.1200856,../Dataset/Rotkreuz/Rotkreuz_2453.JPG,../Dataset/Rotkreuz/Rotkreuz_2548.JPG,Rotkreuz,Rotkreuz
23,131,132,0.12124932,../Dataset/Rotkreuz/Rotkreuz_2485.JPG,../Dataset/Rotkreuz/Rotkreuz_2486.JPG,Rotkreuz,Rotkreuz
24,3,75,0.122174144,../Dataset/Horw/Horw_2352.JPG,../Dataset/Horw/Horw_2427.JPG,Horw,Horw
25,68,162,0.12290901,../Dataset/Horw/Horw_2419.JPG,../Dataset/Rotkreuz/Rotkreuz_2518.JPG,Horw,Rotkreuz
26,157,185,0.124399304,../Dataset/Rotkreuz/Rotkreuz_2513.JPG,../Dataset/Rotkreuz/Rotkreuz_2543.JPG,Rotkreuz,Rotkreuz
27,138,187,0.12461007,../Dataset/Rotkreuz/Rotkreuz_2492.JPG,../Dataset/Rotkreuz/Rotkreuz_2545.JPG,Rotkreuz,Rotkreuz
28,175,176,0.12515277,../Dataset/Rotkreuz/Rotkreuz_2532.JPG,../Dataset/Rotkreuz/Rotkreuz_2533.JPG,Rotkreuz,Rotkreuz
29,143,145,0.12581837,../Dataset/Rotkreuz/Rotkreuz_2499.JPG,../Dataset/Rotkreuz/Rotkreuz_2501.JPG,Rotkreuz,Rotkreuz
30,78,84,0.12803602,../Dataset/Horw/Horw_2430.JPG,../Dataset/Horw/Horw_2436.JPG,Horw,Horw
31,123,138,0.12904376,../Dataset/Rotkreuz/Rotkreuz_2475.JPG,../Dataset/Rotkreuz/Rotkreuz_2492.JPG,Rotkreuz,Rotkreuz
32,35,103,0.1291768,../Dataset/Horw/Horw_2384.JPG,../Dataset/Rotkreuz/Rotkreuz_2454.JPG,Horw,Rotkreuz
33,105,182,0.1297298,../Dataset/Rotkreuz/Rotkreuz_2456.JPG,../Dataset/Rotkreuz/Rotkreuz_2539.JPG,Rotkreuz,Rotkreuz
34,6,80,0.12981522,../Dataset/Horw/Horw_2355.JPG,../Dataset/Horw/Horw_2432.JPG,Horw,Horw
35,26,102,0.13019633,../Dataset/Horw/Horw_2375.JPG,../Dataset/Rotkreuz/Rotkreuz_2453.JPG,Horw,Rotkreuz
36,110,121,0.1323843,../Dataset/Rotkreuz/Rotkreuz_2461.JPG,../Dataset/Rotkreuz/Rotkreuz_2473.JPG,Rotkreuz,Rotkreuz
37,102,125,0.13376272,../Dataset/Rotkreuz/Rotkreuz_2453.JPG,../Dataset/Rotkreuz/Rotkreuz_2477.JPG,Rotkreuz,Rotkreuz
38,122,185,0.13393754,../Dataset/Rotkreuz/Rotkreuz_2474.JPG,../Dataset/Rotkreuz/Rotkreuz_2543.JPG,Rotkreuz,Rotkreuz
39,24,142,0.13512623,../Dataset/Horw/Horw_2373.JPG,../Dataset/Rotkreuz/Rotkreuz_2498.JPG,Horw,Rotkreuz
40,69,133,0.13547772,../Dataset/Horw/Horw_2421.JPG,../Dataset/Rotkreuz/Rotkreuz_2487.JPG,Horw,Rotkreuz
41,116,121,0.13552189,../Dataset/Rotkreuz/Rotkreuz_2468.JPG,../Dataset/Rotkreuz/Rotkreuz_2473.JPG,Rotkreuz,Rotkreuz
42,60,74,0.13642657,../Dataset/Horw/Horw_2410.JPG,../Dataset/Horw/Horw_2426.JPG,Horw,Horw
43,19,73,0.13665313,../Dataset/Horw/Horw_2368.JPG,../Dataset/Horw/Horw_2425.JPG,Horw,Horw
44,23,41,0.13711196,../Dataset/Horw/Horw_2372.JPG,../Dataset/Horw/Horw_2390.JPG,Horw,Horw
45,35,132,0.13738567,../Dataset/Horw/Horw_2384.JPG,../Dataset/Rotkreuz/Rotkreuz_2486.JPG,Horw,Rotkreuz
46,69,157,0.13907284,../Dataset/Horw/Horw_2421.JPG,../Dataset/Rotkreuz/Rotkreuz_2513.JPG,Horw,Rotkreuz
47,124,190,0.13987178,../Dataset/Rotkreuz/Rotkreuz_2476.JPG,../Dataset/Rotkreuz/Rotkreuz_2548.JPG,Rotkreuz,Rotkreuz
48,110,138,0.14047593,../Dataset/Rotkreuz/Rotkreuz_2461.JPG,../Dataset/Rotkreuz/Rotkreuz_2492.JPG,Rotkreuz,Rotkreuz
49,14,74,0.14074928,../Dataset/Horw/Horw_2363.JPG,../Dataset/Horw/Horw_2426.JPG,Horw,Horw
50,13,84,0.1407606,../Dataset/Horw/Horw_2362.JPG,../Dataset/Horw/Horw_2436.JPG,Horw,Horw
51,26,162,0.14080346,../Dataset/Horw/Horw_2375.JPG,../Dataset/Rotkreuz/Rotkreuz_2518.JPG,Horw,Rotkreuz
52,122,166,0.14094764,../Dataset/Rotkreuz/Rotkreuz_2474.JPG,../Dataset/Rotkreuz/Rotkreuz_2522.JPG,Rotkreuz,Rotkreuz
53,7,107,0.14099252,../Dataset/Horw/Horw_2356.JPG,../Dataset/Rotkreuz/Rotkreuz_2458.JPG,Horw,Rotkreuz
54,181,186,0.14177716,../Dataset/Rotkreuz/Rotkreuz_2538.JPG,../Dataset/Rotkreuz/Rotkreuz_2544.JPG,Rotkreuz,Rotkreuz
55,107,137,0.14227748,../Dataset/Rotkreuz/Rotkreuz_2458.JPG,../Dataset/Rotkreuz/Rotkreuz_2491.JPG,Rotkreuz,Rotkreuz
56,10,82,0.14229435,../Dataset/Horw/Horw_2359.JPG,../Dataset/Horw/Horw_2434.JPG,Horw,Horw
57,3,70,0.14292163,../Dataset/Horw/Horw_2352.JPG,../Dataset/Horw/Horw_2422.JPG,Horw,Horw
58,68,121,0.14439642,../Dataset/Horw/Horw_2419.JPG,../Dataset/Rotkreuz/Rotkreuz_2473.JPG,Horw,Rotkreuz
59,166,181,0.14472133,../Dataset/Rotkreuz/Rotkreuz_2522.JPG,../Dataset/Rotkreuz/Rotkreuz_2538.JPG,Rotkreuz,Rotkreuz
60,96,143,0.1450311,../Dataset/Horw/Horw_2449.JPG,../Dataset/Rotkreuz/Rotkreuz_2499.JPG,Horw,Rotkreuz
61,79,171,0.14505303,../Dataset/Horw/Horw_2431.JPG,../Dataset/Rotkreuz/Rotkreuz_2527.JPG,Horw,Rotkreuz
62,128,181,0.14510131,../Dataset/Rotkreuz/Rotkreuz_2480.JPG,../Dataset/Rotkreuz/Rotkreuz_2538.JPG,Rotkreuz,Rotkreuz
63,136,150,0.14518619,../Dataset/Rotkreuz/Rotkreuz_2490.JPG,../Dataset/Rotkreuz/Rotkreuz_2506.JPG,Rotkreuz,Rotkreuz
64,124,162,0.14524698,../Dataset/Rotkreuz/Rotkreuz_2476.JPG,../Dataset/Rotkreuz/Rotkreuz_2518.JPG,Rotkreuz,Rotkreuz
65,29,151,0.1455146,../Dataset/Horw/Horw_2378.JPG,../Dataset/Rotkreuz/Rotkreuz_2507.JPG,Horw,Rotkreuz
66,99,102,0.14554834,../Dataset/Horw/Horw_2555.JPG,../Dataset/Rotkreuz/Rotkreuz_2453.JPG,Horw,Rotkreuz
67,35,73,0.14588892,../Dataset/Horw/Horw_2384.JPG,../Dataset/Horw/Horw_2425.JPG,Horw,Horw
68,108,185,0.14629,../Dataset/Rotkreuz/Rotkreuz_2459.JPG,../Dataset/Rotkreuz/Rotkreuz_2543.JPG,Rotkreuz,Rotkreuz
69,103,129,0.1471051,../Dataset/Rotkreuz/Rotkreuz_2454.JPG,../Dataset/Rotkreuz/Rotkreuz_2481.JPG,Rotkreuz,Rotkreuz
70,6,182,0.14730859,../Dataset/Horw/Horw_2355.JPG,../Dataset/Rotkreuz/Rotkreuz_2539.JPG,Horw,Rotkreuz
71,68,190,0.1475271,../Dataset/Horw/Horw_2419.JPG,../Dataset/Rotkreuz/Rotkreuz_2548.JPG,Horw,Rotkreuz
72,25,27,0.14832139,../Dataset/Horw/Horw_2374.JPG,../Dataset/Horw/Horw_2376.JPG,Horw,Horw
73,124,136,0.14836794,../Dataset/Rotkreuz/Rotkreuz_2476.JPG,../Dataset/Rotkreuz/Rotkreuz_2490.JPG,Rotkreuz,Rotkreuz
74,144,162,0.14839756,../Dataset/Rotkreuz/Rotkreuz_2500.JPG,../Dataset/Rotkreuz/Rotkreuz_2518.JPG,Rotkreuz,Rotkreuz
75,72,118,0.14846063,../Dataset/Horw/Horw_2424.JPG,../Dataset/Rotkreuz/Rotkreuz_2470.JPG,Horw,Rotkreuz
76,73,80,0.14856899,../Dataset/Horw/Horw_2425.JPG,../Dataset/Horw/Horw_2432.JPG,Horw,Horw
77,68,99,0.14877653,../Dataset/Horw/Horw_2419.JPG,../Dataset/Horw/Horw_2555.JPG,Horw,Horw
78,72,185,0.14891529,../Dataset/Horw/Horw_2424.JPG,../Dataset/Rotkreuz/Rotkreuz_2543.JPG,Horw,Rotkreuz
79,174,182,0.14956307,../Dataset/Rotkreuz/Rotkreuz_2530.JPG,../Dataset/Rotkreuz/Rotkreuz_2539.JPG,Rotkreuz,Rotkreuz
80,138,162,0.15001321,../Dataset/Rotkreuz/Rotkreuz_2492.JPG,../Dataset/Rotkreuz/Rotkreuz_2518.JPG,Rotkreuz,Rotkreuz
81,68,70,0.15005577,../Dataset/Horw/Horw_2419.JPG,../Dataset/Horw/Horw_2422.JPG,Horw,Horw
82,134,185,0.150172,../Dataset/Rotkreuz/Rotkreuz_2488.JPG,../Dataset/Rotkreuz/Rotkreuz_2543.JPG,Rotkreuz,Rotkreuz
83,186,187,0.15021545,../Dataset/Rotkreuz/Rotkreuz_2544.JPG,../Dataset/Rotkreuz/Rotkreuz_2545.JPG,Rotkreuz,Rotkreuz
84,59,132,0.15030426,../Dataset/Horw/Horw_2409.JPG,../Dataset/Rotkreuz/Rotkreuz_2486.JPG,Horw,Rotkreuz
85,179,180,0.15051317,../Dataset/Rotkreuz/Rotkreuz_2536.JPG,../Dataset/Rotkreuz/Rotkreuz_2537.JPG,Rotkreuz,Rotkreuz
86,24,107,0.15122026,../Dataset/Horw/Horw_2373.JPG,../Dataset/Rotkreuz/Rotkreuz_2458.JPG,Horw,Rotkreuz
87,35,46,0.15138257,../Dataset/Horw/Horw_2384.JPG,../Dataset/Horw/Horw_2395.JPG,Horw,Horw
