,indices,scores,path,label
0,153,0.38423946,../Dataset/Rotkreuz/Rotkreuz_2509.JPG,Rotkreuz
1,170,0.39691734,../Dataset/Rotkreuz/Rotkreuz_2526.JPG,Rotkreuz
2,152,0.39870498,../Dataset/Rotkreuz/Rotkreuz_2508.JPG,Rotkreuz
3,143,0.40091348,../Dataset/Rotkreuz/Rotkreuz_2499.JPG,Rotkreuz
4,46,0.4061558,../Dataset/Horw/Horw_2395.JPG,Horw
5,52,0.40683997,../Dataset/Horw/Horw_2401.JPG,Horw
6,16,0.41278923,../Dataset/Horw/Horw_2365.JPG,Horw
7,59,0.41924825,../Dataset/Horw/Horw_2409.JPG,Horw
8,142,0.42228216,../Dataset/Rotkreuz/Rotkreuz_2498.JPG,Rotkreuz
9,163,0.4365896,../Dataset/Rotkreuz/Rotkreuz_2519.JPG,Rotkreuz
10,35,0.43983957,../Dataset/Horw/Horw_2384.JPG,Horw
11,53,0.44159663,../Dataset/Horw/Horw_2402.JPG,Horw
12,54,0.44543386,../Dataset/Horw/Horw_2403.JPG,Horw
13,39,0.4456336,../Dataset/Horw/Horw_2388.JPG,Horw
14,71,0.4523389,../Dataset/Horw/Horw_2423.JPG,Horw
15,99,0.4532832,../Dataset/Horw/Horw_2555.JPG,Horw
16,45,0.46157116,../Dataset/Horw/Horw_2394.JPG,Horw
17,120,0.46291384,../Dataset/Rotkreuz/Rotkreuz_2472.JPG,Rotkreuz
18,155,0.46530125,../Dataset/Rotkreuz/Rotkreuz_2511.JPG,Rotkreuz
19,60,0.4658508,../Dataset/Horw/Horw_2410.JPG,Horw
20,100,0.4686363,../Dataset/Rotkreuz/Horw_2439.JPG,Rotkreuz
21,192,0.46967518,../Dataset/Rotkreuz/Rotkreuz_2552.JPG,Rotkreuz
22,58,0.48073712,../Dataset/Horw/Horw_2407.JPG,Horw
23,11,0.48227236,../Dataset/Horw/Horw_2360.JPG,Horw
24,145,0.48338,../Dataset/Rotkreuz/Rotkreuz_2501.JPG,Rotkreuz
25,86,0.4834392,../Dataset/Horw/Horw_2438.JPG,Horw
26,91,0.4848896,../Dataset/Horw/Horw_2444.JPG,Horw
27,74,0.4854399,../Dataset/Horw/Horw_2426.JPG,Horw
28,14,0.48662487,../Dataset/Horw/Horw_2363.JPG,Horw
29,13,0.4882541,../Dataset/Horw/Horw_2362.JPG,Horw
30,178,0.48943523,../Dataset/Rotkreuz/Rotkreuz_2535.JPG,Rotkreuz
31,92,0.48985994,../Dataset/Horw/Horw_2445.JPG,Horw
32,115,0.49058932,../Dataset/Rotkreuz/Rotkreuz_2467.JPG,Rotkreuz
33,157,0.49084663,../Dataset/Rotkreuz/Rotkreuz_2513.JPG,Rotkreuz
34,188,0.49260187,../Dataset/Rotkreuz/Rotkreuz_2546.JPG,Rotkreuz
35,89,0.49275318,../Dataset/Horw/Horw_2442.JPG,Horw
36,184,0.49283564,../Dataset/Rotkreuz/Rotkreuz_2542.JPG,Rotkreuz
37,56,0.49304166,../Dataset/Horw/Horw_2405.JPG,Horw
38,27,0.4941382,../Dataset/Horw/Horw_2376.JPG,Horw
39,127,0.495245,../Dataset/Rotkreuz/Rotkreuz_2479.JPG,Rotkreuz
40,26,0.49678957,../Dataset/Horw/Horw_2375.JPG,Horw
41,69,0.49709162,../Dataset/Horw/Horw_2421.JPG,Horw
42,159,0.4973704,../Dataset/Rotkreuz/Rotkreuz_2515.JPG,Rotkreuz
43,119,0.49906796,../Dataset/Rotkreuz/Rotkreuz_2471.JPG,Rotkreuz
44,68,0.49971193,../Dataset/Horw/Horw_2419.JPG,Horw
45,154,0.50175464,../Dataset/Rotkreuz/Rotkreuz_2510.JPG,Rotkreuz
46,40,0.50184834,../Dataset/Horw/Horw_2389.JPG,Horw
47,57,0.5037426,../Dataset/Horw/Horw_2406.JPG,Horw
48,150,0.50461435,../Dataset/Rotkreuz/Rotkreuz_2506.JPG,Rotkreuz
49,21,0.50461674,../Dataset/Horw/Horw_2370.JPG,Horw
50,93,0.5051841,../Dataset/Horw/Horw_2446.JPG,Horw
51,104,0.50680876,../Dataset/Rotkreuz/Rotkreuz_2455.JPG,Rotkreuz
52,90,0.50707394,../Dataset/Horw/Horw_2443.JPG,Horw
53,42,0.50823146,../Dataset/Horw/Horw_2391.JPG,Horw
54,176,0.51051676,../Dataset/Rotkreuz/Rotkreuz_2533.JPG,Rotkreuz
55,20,0.5112166,../Dataset/Horw/Horw_2369.JPG,Horw
56,146,0.51215655,../Dataset/Rotkreuz/Rotkreuz_2502.JPG,Rotkreuz
57,66,0.51245564,../Dataset/Horw/Horw_2417.JPG,Horw
58,22,0.5127156,../Dataset/Horw/Horw_2371.JPG,Horw
59,50,0.514017,../Dataset/Horw/Horw_2399.JPG,Horw
60,51,0.51560444,../Dataset/Horw/Horw_2400.JPG,Horw
61,2,0.5170009,../Dataset/Horw/Horw_2351.JPG,Horw
62,84,0.51868534,../Dataset/Horw/Horw_2436.JPG,Horw
63,130,0.51875705,../Dataset/Rotkreuz/Rotkreuz_2484.JPG,Rotkreuz
64,10,0.5249622,../Dataset/Horw/Horw_2359.JPG,Horw
65,149,0.5252553,../Dataset/Rotkreuz/Rotkreuz_2505.JPG,Rotkreuz
66,9,0.5275783,../Dataset/Horw/Horw_2358.JPG,Horw
67,160,0.52784103,../Dataset/Rotkreuz/Rotkreuz_2516.JPG,Rotkreuz
68,103,0.52901226,../Dataset/Rotkreuz/Rotkreuz_2454.JPG,Rotkreuz
69,64,0.52916044,../Dataset/Horw/Horw_2414.JPG,Horw
70,147,0.5300579,../Dataset/Rotkreuz/Rotkreuz_2503.JPG,Rotkreuz
71,88,0.530247,../Dataset/Horw/Horw_2441.JPG,Horw
72,23,0.5306842,../Dataset/Horw/Horw_2372.JPG,Horw
73,76,0.5320266,../Dataset/Horw/Horw_2428.JPG,Horw
74,148,0.5335396,../Dataset/Rotkreuz/Rotkreuz_2504.JPG,Rotkreuz
75,65,0.5353331,../Dataset/Horw/Horw_2415.JPG,Horw
76,8,0.5373593,../Dataset/Horw/Horw_2357.JPG,Horw
77,161,0.53753865,../Dataset/Rotkreuz/Rotkreuz_2517.JPG,Rotkreuz
78,67,0.5377384,../Dataset/Horw/Horw_2418.JPG,Horw
79,19,0.5379646,../Dataset/Horw/Horw_2368.JPG,Horw
80,15,0.5390429,../Dataset/Horw/Horw_2364.JPG,Horw
81,191,0.54093987,../Dataset/Rotkreuz/Rotkreuz_2549.JPG,Rotkreuz
82,132,0.5414146,../Dataset/Rotkreuz/Rotkreuz_2486.JPG,Rotkreuz
83,140,0.5430477,../Dataset/Rotkreuz/Rotkreuz_2496.JPG,Rotkreuz
84,33,0.54402,../Dataset/Horw/Horw_2382.JPG,Horw
85,105,0.54417104,../Dataset/Rotkreuz/Rotkreuz_2456.JPG,Rotkreuz
86,151,0.5478007,../Dataset/Rotkreuz/Rotkreuz_2507.JPG,Rotkreuz
87,85,0.5488097,../Dataset/Horw/Horw_2437.JPG,Horw
88,80,0.5496126,../Dataset/Horw/Horw_2432.JPG,Horw
89,109,0.5498134,../Dataset/Rotkreuz/Rotkreuz_2460.JPG,Rotkreuz
90,175,0.5503481,../Dataset/Rotkreuz/Rotkreuz_2532.JPG,Rotkreuz
91,169,0.5507928,../Dataset/Rotkreuz/Rotkreuz_2525.JPG,Rotkreuz
92,129,0.55257165,../Dataset/Rotkreuz/Rotkreuz_2481.JPG,Rotkreuz
93,28,0.5534718,../Dataset/Horw/Horw_2377.JPG,Horw
94,5,0.5593059,../Dataset/Horw/Horw_2354.JPG,Horw
95,128,0.5597329,../Dataset/Rotkreuz/Rotkreuz_2480.JPG,Rotkreuz
96,61,0.5608285,../Dataset/Horw/Horw_2411.JPG,Horw
97,131,0.56212264,../Dataset/Rotkreuz/Rotkreuz_2485.JPG,Rotkreuz
98,173,0.564188,../Dataset/Rotkreuz/Rotkreuz_2529.JPG,Rotkreuz
99,62,0.5686586,../Dataset/Horw/Horw_2412.JPG,Horw
100,78,0.5704042,../Dataset/Horw/Horw_2430.JPG,Horw
