,indices_1,indices_2,scores,path_indices_1,path_indices_2,label_indices_1,label_indices_2
0,124,125,0.07942939,../Dataset/Rotkreuz/Rotkreuz_2476.JPG,../Dataset/Rotkreuz/Rotkreuz_2477.JPG,Rotkreuz,Rotkreuz
1,31,43,0.083847284,../Dataset/Horw/Horw_2380.JPG,../Dataset/Horw/Horw_2392.JPG,Horw,Horw
2,72,73,0.08932686,../Dataset/Horw/Horw_2424.JPG,../Dataset/Horw/Horw_2425.JPG,Horw,Horw
3,107,136,0.09104478,../Dataset/Rotkreuz/Rotkreuz_2458.JPG,../Dataset/Rotkreuz/Rotkreuz_2490.JPG,Rotkreuz,Rotkreuz
4,124,190,0.093898654,../Dataset/Rotkreuz/Rotkreuz_2476.JPG,../Dataset/Rotkreuz/Rotkreuz_2548.JPG,Rotkreuz,Rotkreuz
5,124,182,0.0978176,../Dataset/Rotkreuz/Rotkreuz_2476.JPG,../Dataset/Rotkreuz/Rotkreuz_2539.JPG,Rotkreuz,Rotkreuz
6,182,190,0.100123286,../Dataset/Rotkreuz/Rotkreuz_2539.JPG,../Dataset/Rotkreuz/Rotkreuz_2548.JPG,Rotkreuz,Rotkreuz
7,144,162,0.10033572,../Dataset/Rotkreuz/Rotkreuz_2500.JPG,../Dataset/Rotkreuz/Rotkreuz_2518.JPG,Rotkreuz,Rotkreuz
8,6,83,0.10124624,../Dataset/Horw/Horw_2355.JPG,../Dataset/Horw/Horw_2435.JPG,Horw,Horw
9,171,182,0.10164839,../Dataset/Rotkreuz/Rotkreuz_2527.JPG,../Dataset/Rotkreuz/Rotkreuz_2539.JPG,Rotkreuz,Rotkreuz
10,102,124,0.10445297,../Dataset/Rotkreuz/Rotkreuz_2453.JPG,../Dataset/Rotkreuz/Rotkreuz_2476.JPG,Rotkreuz,Rotkreuz
11,3,70,0.10647154,../Dataset/Horw/Horw_2352.JPG,../Dataset/Horw/Horw_2422.JPG,Horw,Horw
12,125,182,0.10666549,../Dataset/Rotkreuz/Rotkreuz_2477.JPG,../Dataset/Rotkreuz/Rotkreuz_2539.JPG,Rotkreuz,Rotkreuz
13,102,125,0.10788196,../Dataset/Rotkreuz/Rotkreuz_2453.JPG,../Dataset/Rotkreuz/Rotkreuz_2477.JPG,Rotkreuz,Rotkreuz
