,indices_1,indices_2,scores,path_indices_1,path_indices_2,label_indices_1,label_indices_2
0,27,65,0.07045555,../Dataset/Horw/Horw_2375.JPG,../Dataset/Horw/Horw_2419.JPG,Horw,Horw
1,65,120,0.07962221,../Dataset/Horw/Horw_2419.JPG,../Dataset/Rotkreuz/Rotkreuz_2476.JPG,Horw,Rotkreuz
2,67,97,0.08196294,../Dataset/Horw/Horw_2422.JPG,../Dataset/Rotkreuz/Horw_2427.JPG,Horw,Rotkreuz
3,107,117,0.08279884,../Dataset/Rotkreuz/Rotkreuz_2462.JPG,../Dataset/Rotkreuz/Rotkreuz_2473.JPG,Rotkreuz,Rotkreuz
4,32,44,0.08848071,../Dataset/Horw/Horw_2380.JPG,../Dataset/Horw/Horw_2392.JPG,Horw,Horw
5,163,177,0.089775145,../Dataset/Rotkreuz/Rotkreuz_2523.JPG,../Dataset/Rotkreuz/Rotkreuz_2538.JPG,Rotkreuz,Rotkreuz
6,107,112,0.09037346,../Dataset/Rotkreuz/Rotkreuz_2462.JPG,../Dataset/Rotkreuz/Rotkreuz_2468.JPG,Rotkreuz,Rotkreuz
7,69,103,0.09477347,../Dataset/Horw/Horw_2424.JPG,../Dataset/Rotkreuz/Rotkreuz_2458.JPG,Horw,Rotkreuz
8,37,38,0.09596306,../Dataset/Horw/Horw_2385.JPG,../Dataset/Horw/Horw_2386.JPG,Horw,Horw
9,7,79,0.09885645,../Dataset/Horw/Horw_2355.JPG,../Dataset/Horw/Horw_2435.JPG,Horw,Horw
10,118,130,0.10058123,../Dataset/Rotkreuz/Rotkreuz_2474.JPG,../Dataset/Rotkreuz/Rotkreuz_2488.JPG,Rotkreuz,Rotkreuz
11,8,133,0.10506117,../Dataset/Horw/Horw_2356.JPG,../Dataset/Rotkreuz/Rotkreuz_2491.JPG,Horw,Rotkreuz
12,135,162,0.10600901,../Dataset/Rotkreuz/Rotkreuz_2495.JPG,../Dataset/Rotkreuz/Rotkreuz_2522.JPG,Rotkreuz,Rotkreuz
13,39,45,0.1061095,../Dataset/Horw/Horw_2387.JPG,../Dataset/Horw/Horw_2393.JPG,Horw,Horw
14,27,120,0.10722983,../Dataset/Horw/Horw_2375.JPG,../Dataset/Rotkreuz/Rotkreuz_2476.JPG,Horw,Rotkreuz
15,76,79,0.110000074,../Dataset/Horw/Horw_2432.JPG,../Dataset/Horw/Horw_2435.JPG,Horw,Horw
16,132,162,0.1115005,../Dataset/Rotkreuz/Rotkreuz_2490.JPG,../Dataset/Rotkreuz/Rotkreuz_2522.JPG,Rotkreuz,Rotkreuz
17,70,128,0.11357254,../Dataset/Horw/Horw_2425.JPG,../Dataset/Rotkreuz/Rotkreuz_2486.JPG,Horw,Rotkreuz
18,177,183,0.11629754,../Dataset/Rotkreuz/Rotkreuz_2538.JPG,../Dataset/Rotkreuz/Rotkreuz_2545.JPG,Rotkreuz,Rotkreuz
19,4,97,0.11894232,../Dataset/Horw/Horw_2352.JPG,../Dataset/Rotkreuz/Horw_2427.JPG,Horw,Rotkreuz
20,127,128,0.12233311,../Dataset/Rotkreuz/Rotkreuz_2485.JPG,../Dataset/Rotkreuz/Rotkreuz_2486.JPG,Rotkreuz,Rotkreuz
21,31,37,0.12260687,../Dataset/Horw/Horw_2379.JPG,../Dataset/Horw/Horw_2385.JPG,Horw,Horw
22,153,181,0.122668326,../Dataset/Rotkreuz/Rotkreuz_2513.JPG,../Dataset/Rotkreuz/Rotkreuz_2543.JPG,Rotkreuz,Rotkreuz
23,101,178,0.12372851,../Dataset/Rotkreuz/Rotkreuz_2456.JPG,../Dataset/Rotkreuz/Rotkreuz_2539.JPG,Rotkreuz,Rotkreuz
24,134,183,0.12374455,../Dataset/Rotkreuz/Rotkreuz_2492.JPG,../Dataset/Rotkreuz/Rotkreuz_2545.JPG,Rotkreuz,Rotkreuz
25,119,134,0.12442142,../Dataset/Rotkreuz/Rotkreuz_2475.JPG,../Dataset/Rotkreuz/Rotkreuz_2492.JPG,Rotkreuz,Rotkreuz
26,171,172,0.12533486,../Dataset/Rotkreuz/Rotkreuz_2532.JPG,../Dataset/Rotkreuz/Rotkreuz_2533.JPG,Rotkreuz,Rotkreuz
27,36,99,0.12589592,../Dataset/Horw/Horw_2384.JPG,../Dataset/Rotkreuz/Rotkreuz_2454.JPG,Horw,Rotkreuz
28,65,158,0.1260224,../Dataset/Horw/Horw_2419.JPG,../Dataset/Rotkreuz/Rotkreuz_2518.JPG,Horw,Rotkreuz
29,7,76,0.12698233,../Dataset/Horw/Horw_2355.JPG,../Dataset/Horw/Horw_2432.JPG,Horw,Horw
30,139,141,0.12864828,../Dataset/Rotkreuz/Rotkreuz_2499.JPG,../Dataset/Rotkreuz/Rotkreuz_2501.JPG,Rotkreuz,Rotkreuz
31,74,80,0.13076955,../Dataset/Horw/Horw_2430.JPG,../Dataset/Horw/Horw_2436.JPG,Horw,Horw
32,66,129,0.13176608,../Dataset/Horw/Horw_2421.JPG,../Dataset/Rotkreuz/Rotkreuz_2487.JPG,Horw,Rotkreuz
33,118,181,0.13187772,../Dataset/Rotkreuz/Rotkreuz_2474.JPG,../Dataset/Rotkreuz/Rotkreuz_2543.JPG,Rotkreuz,Rotkreuz
34,120,186,0.13264859,../Dataset/Rotkreuz/Rotkreuz_2476.JPG,../Dataset/Rotkreuz/Rotkreuz_2548.JPG,Rotkreuz,Rotkreuz
35,118,162,0.1349963,../Dataset/Rotkreuz/Rotkreuz_2474.JPG,../Dataset/Rotkreuz/Rotkreuz_2522.JPG,Rotkreuz,Rotkreuz
36,58,71,0.13529706,../Dataset/Horw/Horw_2410.JPG,../Dataset/Horw/Horw_2426.JPG,Horw,Horw
37,112,117,0.13566631,../Dataset/Rotkreuz/Rotkreuz_2468.JPG,../Dataset/Rotkreuz/Rotkreuz_2473.JPG,Rotkreuz,Rotkreuz
38,36,128,0.13630152,../Dataset/Horw/Horw_2384.JPG,../Dataset/Rotkreuz/Rotkreuz_2486.JPG,Horw,Rotkreuz
39,106,117,0.13633955,../Dataset/Rotkreuz/Rotkreuz_2461.JPG,../Dataset/Rotkreuz/Rotkreuz_2473.JPG,Rotkreuz,Rotkreuz
40,24,42,0.13635516,../Dataset/Horw/Horw_2372.JPG,../Dataset/Horw/Horw_2390.JPG,Horw,Horw
41,8,103,0.13658774,../Dataset/Horw/Horw_2356.JPG,../Dataset/Rotkreuz/Rotkreuz_2458.JPG,Horw,Rotkreuz
42,25,138,0.13791287,../Dataset/Horw/Horw_2373.JPG,../Dataset/Rotkreuz/Rotkreuz_2498.JPG,Horw,Rotkreuz
43,4,67,0.13794589,../Dataset/Horw/Horw_2352.JPG,../Dataset/Horw/Horw_2422.JPG,Horw,Horw
44,124,177,0.13930643,../Dataset/Rotkreuz/Rotkreuz_2480.JPG,../Dataset/Rotkreuz/Rotkreuz_2538.JPG,Rotkreuz,Rotkreuz
45,132,146,0.13937157,../Dataset/Rotkreuz/Rotkreuz_2490.JPG,../Dataset/Rotkreuz/Rotkreuz_2506.JPG,Rotkreuz,Rotkreuz
46,103,133,0.1396457,../Dataset/Rotkreuz/Rotkreuz_2458.JPG,../Dataset/Rotkreuz/Rotkreuz_2491.JPG,Rotkreuz,Rotkreuz
47,177,182,0.14020783,../Dataset/Rotkreuz/Rotkreuz_2538.JPG,../Dataset/Rotkreuz/Rotkreuz_2544.JPG,Rotkreuz,Rotkreuz
48,66,153,0.1406166,../Dataset/Horw/Horw_2421.JPG,../Dataset/Rotkreuz/Rotkreuz_2513.JPG,Horw,Rotkreuz
49,162,177,0.14136922,../Dataset/Rotkreuz/Rotkreuz_2522.JPG,../Dataset/Rotkreuz/Rotkreuz_2538.JPG,Rotkreuz,Rotkreuz
50,20,70,0.14140546,../Dataset/Horw/Horw_2368.JPG,../Dataset/Horw/Horw_2425.JPG,Horw,Horw
51,14,80,0.14181685,../Dataset/Horw/Horw_2362.JPG,../Dataset/Horw/Horw_2436.JPG,Horw,Horw
52,106,134,0.14194125,../Dataset/Rotkreuz/Rotkreuz_2461.JPG,../Dataset/Rotkreuz/Rotkreuz_2492.JPG,Rotkreuz,Rotkreuz
53,65,117,0.14195812,../Dataset/Horw/Horw_2419.JPG,../Dataset/Rotkreuz/Rotkreuz_2473.JPG,Horw,Rotkreuz
54,170,178,0.1421448,../Dataset/Rotkreuz/Rotkreuz_2530.JPG,../Dataset/Rotkreuz/Rotkreuz_2539.JPG,Rotkreuz,Rotkreuz
55,120,158,0.14297372,../Dataset/Rotkreuz/Rotkreuz_2476.JPG,../Dataset/Rotkreuz/Rotkreuz_2518.JPG,Rotkreuz,Rotkreuz
56,7,178,0.1435445,../Dataset/Horw/Horw_2355.JPG,../Dataset/Rotkreuz/Rotkreuz_2539.JPG,Horw,Rotkreuz
57,104,181,0.14443618,../Dataset/Rotkreuz/Rotkreuz_2459.JPG,../Dataset/Rotkreuz/Rotkreuz_2543.JPG,Rotkreuz,Rotkreuz
58,75,167,0.14496982,../Dataset/Horw/Horw_2431.JPG,../Dataset/Rotkreuz/Rotkreuz_2527.JPG,Horw,Rotkreuz
59,11,78,0.14516902,../Dataset/Horw/Horw_2359.JPG,../Dataset/Horw/Horw_2434.JPG,Horw,Horw
60,15,71,0.14523256,../Dataset/Horw/Horw_2363.JPG,../Dataset/Horw/Horw_2426.JPG,Horw,Horw
61,65,186,0.14523435,../Dataset/Horw/Horw_2419.JPG,../Dataset/Rotkreuz/Rotkreuz_2548.JPG,Horw,Rotkreuz
62,93,139,0.14537847,../Dataset/Horw/Horw_2449.JPG,../Dataset/Rotkreuz/Rotkreuz_2499.JPG,Horw,Rotkreuz
63,120,132,0.14544684,../Dataset/Rotkreuz/Rotkreuz_2476.JPG,../Dataset/Rotkreuz/Rotkreuz_2490.JPG,Rotkreuz,Rotkreuz
64,130,132,0.14556211,../Dataset/Rotkreuz/Rotkreuz_2488.JPG,../Dataset/Rotkreuz/Rotkreuz_2490.JPG,Rotkreuz,Rotkreuz
65,130,181,0.14557159,../Dataset/Rotkreuz/Rotkreuz_2488.JPG,../Dataset/Rotkreuz/Rotkreuz_2543.JPG,Rotkreuz,Rotkreuz
66,27,158,0.14570624,../Dataset/Horw/Horw_2375.JPG,../Dataset/Rotkreuz/Rotkreuz_2518.JPG,Horw,Rotkreuz
67,103,181,0.14683282,../Dataset/Rotkreuz/Rotkreuz_2458.JPG,../Dataset/Rotkreuz/Rotkreuz_2543.JPG,Rotkreuz,Rotkreuz
68,36,47,0.1469152,../Dataset/Horw/Horw_2384.JPG,../Dataset/Horw/Horw_2395.JPG,Horw,Horw
69,130,162,0.14697468,../Dataset/Rotkreuz/Rotkreuz_2488.JPG,../Dataset/Rotkreuz/Rotkreuz_2522.JPG,Rotkreuz,Rotkreuz
70,69,181,0.14753413,../Dataset/Horw/Horw_2424.JPG,../Dataset/Rotkreuz/Rotkreuz_2543.JPG,Horw,Rotkreuz
71,69,114,0.14825714,../Dataset/Horw/Horw_2424.JPG,../Dataset/Rotkreuz/Rotkreuz_2470.JPG,Horw,Rotkreuz
72,36,70,0.1485753,../Dataset/Horw/Horw_2384.JPG,../Dataset/Horw/Horw_2425.JPG,Horw,Horw
73,182,183,0.1488676,../Dataset/Rotkreuz/Rotkreuz_2544.JPG,../Dataset/Rotkreuz/Rotkreuz_2545.JPG,Rotkreuz,Rotkreuz
74,25,103,0.14894438,../Dataset/Horw/Horw_2373.JPG,../Dataset/Rotkreuz/Rotkreuz_2458.JPG,Horw,Rotkreuz
75,57,128,0.14898646,../Dataset/Horw/Horw_2409.JPG,../Dataset/Rotkreuz/Rotkreuz_2486.JPG,Horw,Rotkreuz
76,99,125,0.14935362,../Dataset/Rotkreuz/Rotkreuz_2454.JPG,../Dataset/Rotkreuz/Rotkreuz_2481.JPG,Rotkreuz,Rotkreuz
77,65,67,0.14940846,../Dataset/Horw/Horw_2419.JPG,../Dataset/Horw/Horw_2422.JPG,Horw,Horw
78,30,147,0.14953005,../Dataset/Horw/Horw_2378.JPG,../Dataset/Rotkreuz/Rotkreuz_2507.JPG,Horw,Rotkreuz
79,86,125,0.14978713,../Dataset/Horw/Horw_2442.JPG,../Dataset/Rotkreuz/Rotkreuz_2481.JPG,Horw,Rotkreuz
80,140,158,0.14994454,../Dataset/Rotkreuz/Rotkreuz_2500.JPG,../Dataset/Rotkreuz/Rotkreuz_2518.JPG,Rotkreuz,Rotkreuz
81,117,134,0.15033615,../Dataset/Rotkreuz/Rotkreuz_2473.JPG,../Dataset/Rotkreuz/Rotkreuz_2492.JPG,Rotkreuz,Rotkreuz
82,26,28,0.15044814,../Dataset/Horw/Horw_2374.JPG,../Dataset/Horw/Horw_2376.JPG,Horw,Horw
83,32,70,0.15138638,../Dataset/Horw/Horw_2380.JPG,../Dataset/Horw/Horw_2425.JPG,Horw,Horw
84,132,158,0.1517027,../Dataset/Rotkreuz/Rotkreuz_2490.JPG,../Dataset/Rotkreuz/Rotkreuz_2518.JPG,Rotkreuz,Rotkreuz
