,indices_1,indices_2,scores,path_indices_1,path_indices_2,label_indices_1,label_indices_2
0,0,97,0.012119591,../Dataset/Horw/Horw_0517.jpg,../Dataset/Horw/.ipynb_checkpoints/Horw_0517-checkpoint.jpg,Horw,Horw
1,65,67,0.06521565,../Dataset/Horw/Horw_2419.JPG,../Dataset/Horw/Horw_2422.JPG,Horw,Horw
2,121,122,0.08644998,../Dataset/Rotkreuz/Rotkreuz_2476.JPG,../Dataset/Rotkreuz/Rotkreuz_2477.JPG,Rotkreuz,Rotkreuz
3,75,168,0.08737755,../Dataset/Horw/Horw_2431.JPG,../Dataset/Rotkreuz/Rotkreuz_2527.JPG,Horw,Rotkreuz
4,69,70,0.09054625,../Dataset/Horw/Horw_2424.JPG,../Dataset/Horw/Horw_2425.JPG,Horw,Horw
5,17,151,0.09131467,../Dataset/Horw/Horw_2365.JPG,../Dataset/Rotkreuz/Rotkreuz_2510.JPG,Horw,Rotkreuz
6,17,185,0.09324932,../Dataset/Horw/Horw_2365.JPG,../Dataset/Rotkreuz/Rotkreuz_2546.JPG,Horw,Rotkreuz
7,81,186,0.09456706,../Dataset/Horw/Horw_2437.JPG,../Dataset/Rotkreuz/Rotkreuz_2547.JPG,Horw,Rotkreuz
8,122,125,0.09482831,../Dataset/Rotkreuz/Rotkreuz_2477.JPG,../Dataset/Rotkreuz/Rotkreuz_2480.JPG,Rotkreuz,Rotkreuz
9,111,112,0.09554613,../Dataset/Rotkreuz/Rotkreuz_2466.JPG,../Dataset/Rotkreuz/Rotkreuz_2467.JPG,Rotkreuz,Rotkreuz
10,135,184,0.095837,../Dataset/Rotkreuz/Rotkreuz_2492.JPG,../Dataset/Rotkreuz/Rotkreuz_2545.JPG,Rotkreuz,Rotkreuz
11,53,110,0.09588581,../Dataset/Horw/Horw_2402.JPG,../Dataset/Rotkreuz/Rotkreuz_2465.JPG,Horw,Rotkreuz
12,26,28,0.09626186,../Dataset/Horw/Horw_2374.JPG,../Dataset/Horw/Horw_2376.JPG,Horw,Horw
13,106,184,0.09716475,../Dataset/Rotkreuz/Rotkreuz_2460.JPG,../Dataset/Rotkreuz/Rotkreuz_2545.JPG,Rotkreuz,Rotkreuz
14,37,38,0.09782225,../Dataset/Horw/Horw_2385.JPG,../Dataset/Horw/Horw_2386.JPG,Horw,Horw
